City_ID,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Lat,Lng,Hotel Name
167,Ilebo,CD,73.44,93,91,0.67,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
170,Shache,CN,63.3,12,32,6.67,scattered clouds,38.4167,77.2406,Delong Hotel
171,Upata,VE,76.19,97,16,2.15,few clouds,8.0086,-62.3989,Posada Villa Nela
173,Bani,DO,77.86,85,100,3.42,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
178,Camalu,MX,60.91,51,0,3.0,clear sky,30.85,-116.0667,La Cueva del Pirata
179,Chokwe,MZ,77.95,41,1,9.98,clear sky,-24.5333,32.9833,Complexo Sonho Real
181,Maceio,BR,72.84,100,20,3.44,few clouds,-9.6658,-35.7353,Poutur Pousada
182,Jieshi,CN,78.94,85,100,23.09,light rain,22.8134,115.8257,Yuehai Hotel
183,Nantucket,US,61.97,94,20,0.0,mist,41.2835,-70.0995,Jared Coffin House
189,San Cristobal,VE,64.49,97,67,2.84,broken clouds,7.7669,-72.225,Posada Villaven C.A.
190,Port Shepstone,ZA,69.03,82,45,7.18,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
191,Alofi,NU,75.09,69,17,2.3,few clouds,-19.0595,-169.9187,Taloa Heights
196,Cap Malheureux,MU,79.47,75,26,5.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
200,Beihai,CN,69.8,75,100,39.73,overcast clouds,21.4833,109.1,21 Degree Hostel
201,Sao Jose Da Coroa Grande,BR,74.43,79,41,4.14,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
205,Coahuayana,MX,76.64,94,95,3.42,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
214,Zaraza,VE,73.36,97,19,0.56,light rain,9.3503,-65.3245,Hotel Zaraza
216,Dyersburg,US,69.71,94,1,3.44,clear sky,36.0345,-89.3856,Hampton Inn Dyersburg
217,Natagaima,CO,76.28,74,95,1.83,overcast clouds,3.6206,-75.0941,Mi Hotel El Gran Palacio- Nury
219,Mahebourg,MU,79.25,83,75,5.75,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
230,Chiredzi,ZW,76.53,25,0,3.4,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
233,Carnarvon,AU,78.87,44,0,14.97,clear sky,-24.8667,113.6333,Hospitality Carnarvon
235,Dalhousie,IN,67.86,32,0,5.03,clear sky,32.5333,75.9833,Hotel Mount View
236,Pimentel,PE,62.85,87,100,13.27,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
240,Hwange,ZW,74.66,18,0,4.85,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
241,Carupano,VE,77.99,90,30,5.73,scattered clouds,10.6678,-63.2585,Hotel La dorada
246,Luoyang,CN,69.22,47,10,1.12,clear sky,34.6836,112.4536,易家国际青年旅舍
250,Comodoro Rivadavia,AR,60.66,33,0,18.41,clear sky,-45.8667,-67.5,Austral Hotel
255,Tunceli,TR,66.49,34,44,4.0,scattered clouds,39.1083,39.5471,Grand Hotel Şaroğlu
256,Calhoun,US,62.35,74,75,4.61,broken clouds,42.2506,-85.0005,Quality Inn
258,Chapadinha,BR,76.69,78,67,5.14,broken clouds,-3.7417,-43.3603,Chapadinhense Hotel
260,Abnub,EG,71.82,42,75,8.19,broken clouds,27.2696,31.1511,Romany Adly Gad
264,Geraldton,AU,73.81,35,0,18.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
265,Mkushi,ZM,70.9,36,0,9.91,clear sky,-13.6202,29.3939,Mkushi Police Club
267,Quatre Cocos,MU,79.09,82,37,9.82,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
272,Jacobina,BR,67.14,97,50,3.96,scattered clouds,-11.1806,-40.5183,HOSTEL JACOBINA
273,La Crosse,US,60.93,90,86,2.64,overcast clouds,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
276,Uong Bi,VN,69.78,83,100,18.63,overcast clouds,21.0333,106.7833,khach san Trung lien
277,Airai,TL,74.01,58,73,2.44,broken clouds,-8.9266,125.4092,Juvinal Martin
278,Little Current,CA,62.69,96,98,4.61,overcast clouds,45.9793,-81.9248,Hawberry Motel
284,Nara,JP,79.97,71,74,6.96,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
291,Gibraleon,ES,63.01,69,0,1.63,clear sky,37.3763,-6.969,Finca Caja del Agua
292,Kutum,SD,71.28,72,100,14.5,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
295,Maralal,KE,66.13,55,90,4.94,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
297,Ofunato,JP,63.55,85,98,10.78,overcast clouds,39.0717,141.7167,Ofunato Hot Spring
298,Najran,SA,75.85,14,98,4.81,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
302,Linhares,BR,68.4,94,86,1.32,overcast clouds,-19.3911,-40.0722,Hotel Conceição
305,Santa Maria Del Oro,MX,61.18,78,100,3.11,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
306,Waddan,LY,65.62,57,0,3.74,clear sky,29.1614,16.139,محل الشريف محمد العايب
309,Mwene-Ditu,CD,71.4,82,85,2.06,overcast clouds,-7.0,23.45,Hôtel Kamas
312,Roma,US,63.84,92,1,4.61,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
313,Tabou,CI,76.05,94,95,6.04,overcast clouds,4.423,-7.3528,hotêl doufoulougou
316,Casablanca,MA,62.74,86,4,2.35,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
319,Faya,SA,66.31,15,50,10.56,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
323,Tamandare,BR,73.67,82,41,3.33,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
326,Semnan,IR,66.83,16,23,3.38,few clouds,35.5729,53.3971,Semnan Tourist Hotel
327,Tomakomai,JP,66.72,55,20,9.22,few clouds,42.6369,141.6033,Hotel Wing International Tomakomai
330,Lakes Entrance,AU,66.58,60,69,14.23,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
332,Narrabri,AU,76.51,46,40,11.5,scattered clouds,-30.3167,149.7833,Crossroads Hotel
335,Kamaishi,JP,63.55,85,97,9.01,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
337,Suruc,TR,70.0,43,28,5.77,scattered clouds,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
343,Sakakah,SA,74.77,14,69,10.78,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
344,San Rafael,AR,61.7,63,88,4.81,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
346,Katsuura,JP,68.11,86,100,15.95,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
347,Soyo,AO,77.05,85,44,7.02,scattered clouds,-6.1349,12.3689,Hotel Mpampa
350,Aranos,,72.68,30,43,13.85,scattered clouds,-24.1333,19.1167,Ley-Lia Guest House
351,Zenzeli,RU,60.98,45,45,24.47,scattered clouds,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
352,Praia Da Vitoria,PT,68.25,77,40,7.4,scattered clouds,38.7333,-27.0667,Hotel Branco I
355,Hervey Bay,AU,78.91,67,20,10.0,few clouds,-25.2986,152.8535,Shelly Bay Resort
361,Touros,BR,72.5,72,59,11.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
364,Malanville,BJ,76.35,59,67,5.08,broken clouds,11.8685,3.3899,Hotel Sejour du Sahel
365,Karpathos,GR,69.76,68,40,8.05,scattered clouds,35.507,27.2132,Alex
366,Ribas Do Rio Pardo,BR,71.19,63,8,2.39,clear sky,-20.4431,-53.7592,Pousada Avenida
368,Jardim,BR,70.95,64,1,4.21,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
369,Tecalitlan,MX,63.55,98,93,1.3,overcast clouds,19.4667,-103.3,Hotel Tierra Bella
370,Flinders,AU,62.2,91,100,5.99,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
373,Binga,ZW,75.06,43,0,2.91,clear sky,-17.6203,27.3414,Lakeview Inn Binga
374,Taitung,TW,75.47,100,75,5.75,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
378,Iramuco,MX,62.71,88,40,0.0,scattered clouds,19.95,-100.9167,La Hacienda Centro Cultural y de Entretenimiento
379,Ritchie,ZA,67.21,14,98,15.93,overcast clouds,-29.038,24.6028,Riverside Country Club Modderrivier
380,Zaranj,AF,67.96,15,0,15.26,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
382,Pochutla,MX,78.82,93,16,4.0,few clouds,15.7432,-96.4661,Hotel Posada San Jose
384,Ephrata,US,65.05,89,90,0.0,overcast clouds,40.1798,-76.1788,Hampton Inn & Suites Ephrata - Mountain Springs
385,Gombe,NG,76.01,74,26,4.14,scattered clouds,10.2897,11.1673,Shinani Lodge
386,Fenoarivo,MG,66.27,68,20,6.91,few clouds,-18.933,47.4354,Skyfol Ambodiafontsy
388,La Palma,US,62.87,47,1,0.0,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
389,Shelburne,CA,63.05,96,20,9.6,few clouds,44.0787,-80.2041,The Retreat at the Farm
391,Sinnamary,GF,78.89,88,100,8.14,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
392,Chimbote,PE,61.66,88,72,7.7,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
393,Bambous Virieux,MU,79.21,83,75,5.75,light rain,-20.3428,57.7575,Casa Tia Villa
394,Quelimane,MZ,66.15,88,20,3.44,few clouds,-17.8786,36.8883,Hotel Flamingo
395,Tawang,IN,71.11,35,4,7.23,clear sky,27.5833,91.8667,Hotel Mount View
398,Dabakala,CI,73.54,88,11,2.48,few clouds,8.3667,-4.4333,Hôtel Campement
400,Bensonville,LR,73.36,96,81,2.57,broken clouds,6.4461,-10.6125,Moinga
401,Progreso,MX,78.91,84,2,9.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
403,Puerto Cabezas,NI,78.35,85,70,4.43,broken clouds,14.0351,-83.3888,Cabaña Caribe
405,Camden,US,64.74,92,97,2.82,overcast clouds,39.7835,-74.9663,Days Inn by Wyndham Berlin Voorhees
406,Xichang,CN,75.34,59,66,3.58,broken clouds,27.8964,102.2634,Xichang ibis Hotel
415,Maldonado,UY,60.22,95,90,4.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
420,Oxapampa,PE,61.47,89,88,2.57,overcast clouds,-10.5775,-75.4017,Hotel Heidinger
421,Sabha,LY,63.36,42,0,5.86,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
423,Walvis Bay,,60.1,94,55,5.75,broken clouds,-22.9575,14.5053,Oyster Box Guesthouse
425,Olean,US,63.28,100,90,8.05,overcast clouds,42.0776,-78.4297,Best Western Plus University Inn
426,Russell,US,69.4,94,1,0.0,mist,32.3502,-85.1999,Macs
427,Caravelas,BR,69.46,92,97,1.68,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
428,Noshiro,JP,67.14,62,32,2.68,scattered clouds,40.2039,140.0242,Azuma Ryokan
429,Luocheng,CN,67.19,69,98,2.8,overcast clouds,29.3848,104.0286,Luocheng Hotel
430,Yulara,AU,76.84,7,0,5.75,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
431,Rundu,,72.95,26,0,10.89,clear sky,-17.9333,19.7667,Millennia Estate
432,Vila Franca Do Campo,PT,66.61,86,100,2.57,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
435,Mendoza,AR,63.93,63,20,11.5,few clouds,-32.8908,-68.8272,Hotel Mendoza
440,Hebi,CN,68.85,43,23,5.37,few clouds,35.8992,114.1925,Wangfu Hotel
441,Rafaela,AR,68.0,51,76,1.99,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
445,Nkhotakota,MW,77.56,52,99,10.76,overcast clouds,-12.9274,34.2961,Sitima Inn
446,Itarema,BR,78.15,74,45,16.69,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
447,Brazzaville,CG,78.28,76,62,2.24,broken clouds,-4.2658,15.2832,Hotel Muesse
448,Boundiali,CI,71.11,92,41,1.5,scattered clouds,9.5217,-6.4869,Hotel Paysan Boundiali
