City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Upernavik,GL,72.7868,-56.1549,29.86,92,93,6.24,overcast clouds
80,Shu,KZ,43.5983,73.7614,55.22,27,0,8.66,clear sky
81,Marsa Matruh,EG,31.3525,27.2453,74.19,75,79,7.0,broken clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,75,11.5,broken clouds
83,Kipushi,CD,-11.7667,27.2333,69.87,44,30,9.95,scattered clouds
84,Pevek,RU,69.7008,170.3133,17.38,91,96,2.08,overcast clouds
85,Sala Consilina,IT,40.3912,15.5989,49.3,68,82,4.0,broken clouds
86,Axim,GH,4.8699,-2.2405,77.5,91,70,6.55,broken clouds
87,Nelson Bay,AU,-32.7167,152.15,69.1,68,95,4.0,overcast clouds
88,Te Anau,NZ,-45.4167,167.7167,45.63,72,57,5.41,broken clouds
89,Standerton,ZA,-26.9337,29.2415,63.59,27,96,2.95,overcast clouds
90,Arroyohondo,CO,10.2522,-75.0198,80.26,95,89,5.55,overcast clouds
91,Cayenne,GF,4.9333,-52.3333,77.09,88,100,0.0,light rain
92,Mandalgovi,MN,45.7625,106.2708,47.91,23,23,14.81,few clouds
93,Avarua,CK,-21.2078,-159.775,75.25,69,20,10.36,few clouds
94,Boguchany,RU,58.3814,97.4531,30.76,40,100,4.94,overcast clouds
95,Ribeira Grande,PT,38.5167,-28.7,69.51,76,92,11.83,overcast clouds
96,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.75,71,54,3.49,broken clouds
97,Sao Filipe,CV,14.8961,-24.4956,77.97,73,96,9.84,overcast clouds
98,Okha,RU,53.5739,142.9478,41.76,61,99,11.86,overcast clouds
99,Olafsvik,IS,64.8945,-23.7142,41.36,88,100,10.71,overcast clouds
100,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,87,5.01,overcast clouds
101,Khatanga,RU,71.9667,102.5,11.52,96,98,7.56,overcast clouds
102,East London,ZA,-33.0153,27.9116,63.54,94,75,4.61,broken clouds
103,Zheleznodorozhnyy,RU,55.7503,38.0042,48.22,69,100,8.19,light rain
104,Gigmoto,PH,13.7796,124.39,82.87,81,98,9.95,light rain
105,Bruchsal,DE,49.1281,8.5836,45.84,100,57,1.77,broken clouds
106,Coquimbo,CL,-29.9533,-71.3436,55.13,82,20,2.3,few clouds
107,Hermanus,ZA,-34.4187,19.2345,60.91,68,100,2.84,overcast clouds
108,Victoria,HK,22.2855,114.1577,81.25,93,100,1.99,light rain
109,Buala,SB,-8.145,159.5921,84.4,68,95,1.86,overcast clouds
110,Hasaki,JP,35.7333,140.8333,64.8,87,100,16.37,light rain
111,Kungsbacka,SE,57.4872,12.0761,41.05,91,73,3.04,broken clouds
112,Cabra,ES,37.4725,-4.4421,59.9,77,7,1.81,clear sky
113,Hereford,GB,52.0568,-2.7148,55.74,70,100,2.37,overcast clouds
114,Northam,GB,51.0333,-4.2167,53.38,88,83,1.61,broken clouds
115,Galesburg,US,40.9478,-90.3712,57.97,88,1,3.44,clear sky
116,Kieta,PG,-6.2167,155.6333,83.61,70,91,3.22,overcast clouds
117,Ambalavao,MG,-21.8333,46.9333,75.18,50,61,1.52,broken clouds
118,Gamba,GA,-2.65,10.0,76.8,89,100,4.63,overcast clouds
